0,0,0,0,0,0,75,145,145,75,0,0,0,0,0,0
0,0,0,0,28,177,182,137,137,182,177,28,0,0,0,0
0,0,0,0,180,102,51,51,51,51,102,180,0,0,0,0
0,0,0,144,110,51,53,68,68,53,51,110,144,0,0,0
0,0,0,160,51,49,66,76,76,66,51,51,160,0,0,0
0,0,113,108,45,1,59,76,76,68,44,51,108,113,0,0
0,0,140,51,42,0,19,75,77,45,14,51,51,140,0,0
0,0,137,51,46,0,0,49,59,6,20,51,51,137,0,0
0,0,135,51,51,10,0,35,49,0,35,51,51,135,0,0
0,0,126,51,51,35,0,21,41,8,48,51,51,126,0,0
0,0,108,83,51,50,19,26,49,46,51,51,83,108,0,0
0,0,0,129,51,51,51,50,51,51,51,51,129,0,0,0
0,0,0,120,71,51,51,59,58,51,51,71,120,0,0,0
0,0,0,0,140,59,51,51,52,51,59,140,0,0,0,0
0,0,0,0,28,136,120,51,51,120,136,28,0,0,0,0
0,0,0,0,0,0,75,127,127,75,0,0,0,0,0,0
