0,31,0,7,0,0,67,98,71,202,68,0,0,12,44,0
0,13,0,0,25,250,83,57,98,83,166,1,0,11,13,0
0,0,7,28,140,35,60,49,41,36,82,143,6,0,3,7
0,0,0,78,72,54,40,84,77,59,34,83,121,0,0,38
12,31,2,122,48,47,61,66,93,60,51,42,117,0,6,9
24,0,51,68,43,0,50,89,74,73,52,44,69,58,0,23
0,16,56,49,43,0,4,72,94,26,0,64,63,90,0,0
20,7,47,64,38,3,0,28,66,2,11,56,54,51,22,0
10,18,55,77,43,14,2,3,51,0,22,63,45,78,35,0
0,14,48,72,49,28,0,13,43,10,31,48,71,57,0,46
13,0,36,68,40,63,9,11,48,45,46,60,54,48,0,17
12,0,0,116,41,60,53,42,56,50,51,40,91,0,0,10
12,0,0,68,62,51,42,53,66,41,53,75,55,0,0,19
18,0,0,0,110,48,43,83,50,56,59,51,33,0,0,0
0,20,29,0,48,102,58,59,62,74,82,28,20,0,0,13
0,0,0,0,0,0,117,117,96,19,0,0,22,0,77,31
