0,87,0,74,124,0,0,31,25,0,42,0,255,0,92,16,0,39,18,106,0,0,0,27,0,0,0,10,23,13,20,0,24,20,16,0,0,24,0,48,0,46,28,0,103,7,18,32,9,74,32,0,43,57,0,74,8,19,0,0,0,21,0,0
91,0,0,12,0,0,90,0,0,0,35,37,0,0,0,42,25,9,24,9,0,0,31,0,45,37,18,30,0,11,33,0,0,0,15,2,0,0,7,0,28,1,27,0,26,0,54,0,11,0,45,0,47,5,27,25,0,0,0,58,0,0,0,24
112,0,60,0,0,15,0,0,36,9,47,0,0,9,0,30,0,22,0,17,27,0,0,0,0,17,0,0,57,34,83,50,52,47,0,0,39,10,0,5,0,5,0,46,20,0,0,66,22,6,0,0,0,48,0,64,60,18,0,0,28,49,10,0
0,15,74,0,39,18,0,51,28,0,33,0,0,0,7,70,0,70,30,0,0,14,6,16,8,33,124,197,214,228,232,255,255,255,255,240,192,136,104,0,0,1,0,0,12,36,4,0,29,0,8,0,0,44,23,0,7,48,13,0,0,0,46,0
0,42,4,0,30,0,0,95,0,0,29,0,0,0,43,0,6,9,0,0,25,0,0,52,176,213,255,252,255,250,241,189,233,187,255,255,255,244,219,224,79,0,3,0,12,3,0,12,34,0,0,0,0,0,7,37,0,69,51,27,0,0,0,14
0,27,0,0,33,0,0,16,0,0,38,14,0,4,4,10,1,4,0,0,0,65,160,255,255,255,184,126,64,45,37,20,24,44,56,54,108,169,251,219,228,108,42,1,0,23,0,0,40,28,0,12,2,0,0,0,0,0,35,13,29,20,9,91
39,0,0,40,26,0,41,52,0,17,0,0,0,7,0,1,19,4,0,0,86,182,255,226,149,56,37,65,52,44,55,65,68,51,61,65,40,73,67,145,235,255,168,47,3,0,32,0,7,31,0,17,0,0,0,17,0,0,0,10,0,0,0,62
0,0,0,57,0,24,0,0,0,9,0,19,33,15,3,9,1,1,0,116,206,237,165,98,44,50,43,40,43,53,33,67,31,69,51,33,50,51,50,45,101,144,255,219,55,0,3,0,15,12,3,0,0,48,5,17,0,0,15,47,41,38,0,0
56,0,18,49,0,39,0,31,0,0,23,19,3,0,0,3,0,9,77,232,236,138,79,40,48,50,52,54,59,56,61,62,35,48,56,35,54,59,55,42,59,59,147,255,245,40,0,0,2,6,0,25,0,0,20,27,27,0,0,0,11,0,17,0
25,27,44,24,0,20,9,0,0,0,17,19,0,9,0,12,0,82,225,208,110,54,48,46,44,49,40,52,49,53,60,47,45,36,57,71,39,54,44,50,40,51,49,91,242,238,81,0,0,29,0,26,0,31,4,3,1,0,0,7,5,45,16,21
0,20,0,0,0,5,4,10,13,27,16,3,0,18,7,1,35,213,234,87,61,46,50,44,50,65,48,50,39,53,45,55,45,70,44,45,63,33,61,66,50,48,54,42,83,240,213,36,0,28,0,0,0,0,0,15,52,35,0,14,0,0,0,42
5,0,5,0,12,11,0,0,5,0,0,29,0,35,0,9,187,255,106,46,49,43,46,48,46,48,42,68,51,58,47,54,39,60,47,57,50,58,34,57,52,47,57,54,40,92,255,206,0,0,0,13,0,0,7,1,0,21,0,0,27,12,66,0
60,14,0,27,52,0,0,25,1,0,47,0,10,0,0,134,255,130,44,53,51,54,56,60,52,67,45,47,38,56,52,55,48,47,39,62,40,45,60,46,54,49,51,49,42,63,115,255,133,0,6,12,7,20,0,27,0,22,0,23,0,24,25,0
0,0,10,0,2,0,0,13,1,0,16,0,23,5,45,222,173,52,52,55,54,43,51,46,43,56,38,50,68,59,82,74,82,69,64,50,63,55,48,57,48,52,50,47,62,44,54,155,255,48,0,29,0,6,0,12,0,0,28,0,27,0,13,0
0,0,1,0,7,0,49,0,26,0,0,0,39,0,172,241,73,35,52,47,55,49,48,58,51,48,55,61,71,69,81,82,76,77,80,68,53,48,43,46,64,47,54,38,52,56,49,63,227,151,17,0,10,15,0,0,30,1,31,0,0,0,6,55
0,56,0,0,0,7,1,0,15,0,25,3,0,41,255,128,37,60,51,47,66,40,53,54,45,45,45,71,88,75,82,64,76,76,85,75,76,61,51,52,47,54,40,55,53,52,66,44,112,232,68,0,10,23,13,0,0,5,33,23,0,0,0,11
0,37,0,17,0,14,12,0,0,1,5,0,0,208,207,29,63,52,39,56,60,54,46,52,51,50,65,89,75,73,84,73,76,87,75,83,80,68,45,53,44,53,59,47,47,51,58,63,32,202,177,0,1,0,0,15,1,0,36,6,53,0,12,0
33,0,10,0,0,19,0,0,31,13,0,0,52,255,86,34,52,38,48,49,52,40,63,48,47,54,73,77,72,81,69,72,80,69,72,74,75,76,58,52,54,46,51,52,56,39,64,36,49,97,232,49,22,0,0,0,38,0,0,25,0,23,0,35
41,0,0,0,7,0,16,1,3,0,12,0,162,221,25,65,41,69,49,44,58,64,51,43,51,52,82,78,73,74,75,80,74,75,76,69,75,78,61,53,56,53,50,56,56,52,36,57,77,32,197,142,0,16,0,0,2,23,36,0,13,10,0,0
